Customer Id,Transaction date,Amount (Ksh)
1432,7/13/21 0:00,350
1432,7/21/21 0:00,350
1432,7/30/21 0:00,350
1432,8/14/21 0:00,350
1432,8/29/21 0:00,350
1432,5/9/21 0:00,350
1432,12/9/21 0:00,350
1432,9/19/21 0:00,350
1432,9/26/21 0:00,350
1432,4/10/21 0:00,350
1432,11/10/21 0:00,350
1432,10/18/21 0:00,350
1432,10/25/21 0:00,350
1432,1/11/21 0:00,350
1432,8/11/21 0:00,350
1432,11/15/21 0:00,350
1432,11/22/21 0:00,350
1432,11/29/21 0:00,350
1432,6/12/21 0:00,350
1432,12/13/21 0:00,350
1432,12/20/21 0:00,350
1432,12/27/21 0:00,350
3105,5/7/21 0:00,350
3105,7/19/21 0:00,350
3105,7/26/21 0:00,350
3105,2/8/21 0:00,350
3105,9/8/21 0:00,350
3105,8/16/21 0:00,350
3105,8/23/21 0:00,350
3105,1/9/21 0:00,350
3105,8/9/21 0:00,350
3105,9/15/21 0:00,350
3105,9/22/21 0:00,350
3105,9/29/21 0:00,350
3105,6/10/21 0:00,350
3105,10/14/21 0:00,350
3105,10/21/21 0:00,350
3105,10/28/21 0:00,350
3105,4/11/21 0:00,350
3105,11/11/21 0:00,350
3105,11/22/21 0:00,350
3105,2/12/21 0:00,350
3105,9/12/21 0:00,350
3105,12/16/21 0:00,350
3105,12/23/21 0:00,350
3105,12/30/21 0:00,350
4626,7/10/21 0:00,350
4626,10/14/21 0:00,350
4626,10/22/21 0:00,350
4626,10/29/21 0:00,350
4626,5/11/21 0:00,350
4626,11/15/21 0:00,350
4626,1/12/21 0:00,350
4626,9/12/21 0:00,350
4626,12/16/21 0:00,350
10134,7/15/21 0:00,350
10134,8/28/21 0:00,350
10134,10/10/21 0:00,350
10134,11/24/21 0:00,350
10134,1/12/21 0:00,350
10134,9/12/21 0:00,350
10134,12/16/21 0:00,350
10134,12/24/21 0:00,350
11013,7/7/21 0:00,350
11013,7/23/21 0:00,350
11013,2/8/21 0:00,350
11013,9/8/21 0:00,350
11013,8/18/21 0:00,350
11013,8/26/21 0:00,350
11013,6/9/21 0:00,350
11013,9/14/21 0:00,350
11013,9/21/21 0:00,350
11013,9/29/21 0:00,350
11013,6/10/21 0:00,350
11013,10/13/21 0:00,350
11013,10/21/21 0:00,350
11013,6/11/21 0:00,350
11013,11/14/21 0:00,350
11013,11/25/21 0:00,350
11013,2/12/21 0:00,350
11013,9/12/21 0:00,350
11013,12/17/21 0:00,350
11013,12/26/21 0:00,350
14499,6/7/21 0:00,350
14499,7/17/21 0:00,350
14499,7/24/21 0:00,350
14499,7/31/21 0:00,350
14499,7/8/21 0:00,350
14499,8/14/21 0:00,350
14499,8/21/21 0:00,350
14499,8/30/21 0:00,350
14499,6/9/21 0:00,350
14499,9/14/21 0:00,350
14499,9/22/21 0:00,350
14499,4/10/21 0:00,350
14499,10/15/21 0:00,350
14499,5/11/21 0:00,350
14499,12/20/21 0:00,350
14623,4/7/21 0:00,350
14623,7/18/21 0:00,350
14623,7/29/21 0:00,350
14623,5/8/21 0:00,350
14623,12/8/21 0:00,350
14623,8/19/21 0:00,350
14623,8/26/21 0:00,350
14623,2/9/21 0:00,350
14623,9/9/21 0:00,350
14623,9/16/21 0:00,350
14623,9/23/21 0:00,350
14623,9/30/21 0:00,350
14623,7/10/21 0:00,350
14623,10/14/21 0:00,350
14623,10/21/21 0:00,350
14623,10/28/21 0:00,350
14623,4/11/21 0:00,350
14623,11/11/21 0:00,350
14623,11/18/21 0:00,350
14623,11/25/21 0:00,350
14623,2/12/21 0:00,350
14623,9/12/21 0:00,350
14623,12/16/21 0:00,350
14623,12/23/21 0:00,350
14623,12/30/21 0:00,350
19950,7/16/21 0:00,350
19950,7/23/21 0:00,350
19950,7/30/21 0:00,350
19950,6/8/21 0:00,350
19950,8/14/21 0:00,350
19950,8/23/21 0:00,350
19950,8/30/21 0:00,350
19950,6/9/21 0:00,350
19950,9/15/21 0:00,350
19950,9/22/21 0:00,350
19950,9/30/21 0:00,350
19950,10/16/21 0:00,350
19950,10/23/21 0:00,350
19950,1/11/21 0:00,350
19950,8/11/21 0:00,350
19950,11/15/21 0:00,350
19950,11/22/21 0:00,350
19950,1/12/21 0:00,350
19950,8/12/21 0:00,350
19950,12/19/21 0:00,350
19950,12/27/21 0:00,350
20129,9/23/21 0:00,350
20129,9/30/21 0:00,350
20129,7/10/21 0:00,350
20129,10/14/21 0:00,350
20129,10/22/21 0:00,350
20129,10/30/21 0:00,350
20129,6/11/21 0:00,350
20129,11/14/21 0:00,350
20129,11/21/21 0:00,350
20129,1/12/21 0:00,350
20129,10/12/21 0:00,350
20129,12/17/21 0:00,350
21306,3/7/21 0:00,350
21306,7/18/21 0:00,350
21306,7/27/21 0:00,350
21306,3/8/21 0:00,350
21306,12/8/21 0:00,350
21306,9/19/21 0:00,350
21306,9/29/21 0:00,350
21306,9/11/21 0:00,350
21306,11/16/21 0:00,350
21306,11/12/21 0:00,350
21306,12/20/21 0:00,350
21306,12/28/21 0:00,350
21987,8/10/21 0:00,350
21987,10/17/21 0:00,350
21987,4/11/21 0:00,350
22207,8/18/21 0:00,350
22207,8/25/21 0:00,350
22207,1/9/21 0:00,350
22207,8/9/21 0:00,350
22207,9/15/21 0:00,350
22207,9/23/21 0:00,350
22207,1/10/21 0:00,350
22207,8/10/21 0:00,350
22207,10/15/21 0:00,350
22207,10/22/21 0:00,350
22207,10/30/21 0:00,350
22207,6/11/21 0:00,350
22207,11/13/21 0:00,350
22207,11/20/21 0:00,350
22207,11/27/21 0:00,350
22207,4/12/21 0:00,350
22207,11/12/21 0:00,350
22207,12/18/21 0:00,350
22207,12/26/21 0:00,350
22381,7/13/21 0:00,350
22381,7/27/21 0:00,350
22381,3/8/21 0:00,350
22381,8/18/21 0:00,350
22381,8/31/21 0:00,350
22381,7/9/21 0:00,350
22381,9/21/21 0:00,350
22381,1/10/21 0:00,350
22381,11/10/21 0:00,350
22381,10/11/21 0:00,350
22381,11/27/21 0:00,350
22381,12/13/21 0:00,350
22381,12/21/21 0:00,350
22381,12/28/21 0:00,350
22526,2/7/21 0:00,350
22526,12/7/21 0:00,350
22526,7/20/21 0:00,350
22526,5/8/21 0:00,350
22526,8/21/21 0:00,350
22526,1/9/21 0:00,350
22526,11/9/21 0:00,350
22554,7/18/21 0:00,350
22554,7/26/21 0:00,350
22554,4/8/21 0:00,350
22554,11/8/21 0:00,350
22554,8/21/21 0:00,350
22554,8/28/21 0:00,350
22554,6/9/21 0:00,350
22554,9/14/21 0:00,350
22554,9/23/21 0:00,350
22554,9/30/21 0:00,350
22554,7/10/21 0:00,350
22554,10/16/21 0:00,350
22554,10/23/21 0:00,350
22554,10/30/21 0:00,350
22554,6/11/21 0:00,350
22554,11/14/21 0:00,350
22554,11/24/21 0:00,350
22554,1/12/21 0:00,350
22554,9/12/21 0:00,350
22554,12/16/21 0:00,350
22554,12/25/21 0:00,350
23146,7/28/21 0:00,350
23146,8/8/21 0:00,350
23146,8/17/21 0:00,350
23146,8/25/21 0:00,350
23146,1/9/21 0:00,350
23146,12/9/21 0:00,350
23146,9/21/21 0:00,350
23146,9/28/21 0:00,350
23146,5/10/21 0:00,350
23146,12/10/21 0:00,350
23146,10/19/21 0:00,350
23146,10/27/21 0:00,350
23146,4/11/21 0:00,350
23146,11/16/21 0:00,350
23146,11/25/21 0:00,350
23146,2/12/21 0:00,350
23146,10/12/21 0:00,350
23146,12/18/21 0:00,350
23634,7/22/21 0:00,350
23634,7/8/21 0:00,350
23634,8/17/21 0:00,350
23634,8/28/21 0:00,350
23634,8/9/21 0:00,350
23634,9/25/21 0:00,350
23634,10/29/21 0:00,350
23634,11/19/21 0:00,350
23634,1/12/21 0:00,350
23634,12/12/21 0:00,350
23900,7/13/21 0:00,350
23900,7/21/21 0:00,350
23900,7/28/21 0:00,350
23900,4/8/21 0:00,350
23900,11/8/21 0:00,350
23900,8/18/21 0:00,350
23900,8/25/21 0:00,350
23900,3/9/21 0:00,350
23900,12/9/21 0:00,350
23900,9/19/21 0:00,350
23900,9/27/21 0:00,350
23900,5/10/21 0:00,350
23900,12/10/21 0:00,350
23900,10/20/21 0:00,350
23900,5/11/21 0:00,350
23900,12/11/21 0:00,350
23900,11/30/21 0:00,350
24046,2/7/21 0:00,350
24046,7/13/21 0:00,350
24046,7/24/21 0:00,350
24046,1/8/21 0:00,350
24046,8/8/21 0:00,350
24046,8/18/21 0:00,350
24046,8/27/21 0:00,350
24046,3/9/21 0:00,350
24046,9/20/21 0:00,350
24046,1/10/21 0:00,350
24046,8/11/21 0:00,350
24046,11/21/21 0:00,350
24046,12/12/21 0:00,350
24327,7/18/21 0:00,350
24327,7/25/21 0:00,350
24327,1/8/21 0:00,350
24327,8/8/21 0:00,350
24327,8/15/21 0:00,350
24327,8/22/21 0:00,350
24327,8/29/21 0:00,350
24327,5/9/21 0:00,350
24327,9/13/21 0:00,350
24327,9/20/21 0:00,350
24327,9/27/21 0:00,350
24327,4/10/21 0:00,350
24327,11/10/21 0:00,350
24327,10/18/21 0:00,350
24327,10/25/21 0:00,350
24327,1/11/21 0:00,350
24327,8/11/21 0:00,350
24327,11/15/21 0:00,350
24327,11/23/21 0:00,350
24327,4/12/21 0:00,350
24327,11/12/21 0:00,350
24327,12/19/21 0:00,350
24327,12/26/21 0:00,350
24437,10/26/21 0:00,350
24437,2/11/21 0:00,350
24437,9/11/21 0:00,350
24437,11/16/21 0:00,350
24437,11/23/21 0:00,350
24437,11/30/21 0:00,350
24437,7/12/21 0:00,350
24437,12/14/21 0:00,350
24437,12/21/21 0:00,350
24437,12/28/21 0:00,350
25635,7/16/21 0:00,350
25635,7/23/21 0:00,350
25635,7/30/21 0:00,350
25635,7/8/21 0:00,350
25635,9/14/21 0:00,350
25635,9/21/21 0:00,350
25635,8/10/21 0:00,350
25635,10/20/21 0:00,350
25635,10/27/21 0:00,350
25635,4/11/21 0:00,350
25635,11/18/21 0:00,350
25635,11/27/21 0:00,350
25635,5/12/21 0:00,350
25635,12/12/21 0:00,350
25635,12/21/21 0:00,350
25635,12/29/21 0:00,350
25713,8/18/21 0:00,350
25713,8/25/21 0:00,350
25713,1/9/21 0:00,350
25713,8/9/21 0:00,350
25713,9/15/21 0:00,350
25713,9/28/21 0:00,350
25713,5/10/21 0:00,350
25713,10/18/21 0:00,350
25713,10/26/21 0:00,350
25713,2/11/21 0:00,350
25713,11/16/21 0:00,350
25713,11/23/21 0:00,350
25713,6/12/21 0:00,350
25713,12/26/21 0:00,350
26341,7/14/21 0:00,350
26341,7/21/21 0:00,350
26341,8/27/21 0:00,350
26341,3/9/21 0:00,350
26341,2/10/21 0:00,350
26341,11/10/21 0:00,350
26341,10/26/21 0:00,350
26341,11/16/21 0:00,350
26341,12/31/21 0:00,350
27015,7/30/21 0:00,350
27015,12/8/21 0:00,350
27015,8/19/21 0:00,350
27015,8/26/21 0:00,350
27015,2/9/21 0:00,350
27015,11/9/21 0:00,350
27015,9/18/21 0:00,350
27015,9/25/21 0:00,350
27015,2/10/21 0:00,350
27015,9/10/21 0:00,350
27015,10/16/21 0:00,350
27015,10/25/21 0:00,350
27015,3/11/21 0:00,350
27015,11/13/21 0:00,350
27015,11/23/21 0:00,350
27015,11/30/21 0:00,350
27015,7/12/21 0:00,350
27015,12/14/21 0:00,350
27015,12/21/21 0:00,350
27015,12/28/21 0:00,350
27420,7/31/21 0:00,350
27420,7/8/21 0:00,350
27420,8/14/21 0:00,350
27420,8/21/21 0:00,350
27420,12/19/21 0:00,350
27879,1/7/21 0:00,350
27879,8/7/21 0:00,350
27879,7/15/21 0:00,350
27879,7/24/21 0:00,350
27879,7/31/21 0:00,350
27879,8/8/21 0:00,350
27879,8/16/21 0:00,350
27879,3/9/21 0:00,350
27879,10/9/21 0:00,350
27879,9/18/21 0:00,350
27879,9/25/21 0:00,350
27879,2/10/21 0:00,350
27879,9/10/21 0:00,350
27879,10/16/21 0:00,350
27879,10/25/21 0:00,350
27879,4/11/21 0:00,350
27879,11/11/21 0:00,350
27879,11/22/21 0:00,350
27879,11/29/21 0:00,350
27879,7/12/21 0:00,350
27879,12/15/21 0:00,350
27879,12/23/21 0:00,350
27879,12/30/21 0:00,350
29103,9/7/21 0:00,350
29103,11/8/21 0:00,350
29103,8/18/21 0:00,350
29103,12/9/21 0:00,350
29103,9/20/21 0:00,350
29103,9/28/21 0:00,350
29103,5/10/21 0:00,350
29103,10/16/21 0:00,350
29103,10/23/21 0:00,350
29103,10/30/21 0:00,350
29103,11/14/21 0:00,350
29103,11/21/21 0:00,350
29103,12/23/21 0:00,350
29103,12/30/21 0:00,350
29906,9/30/21 0:00,350
29906,7/10/21 0:00,350
29906,10/14/21 0:00,350
29906,10/21/21 0:00,350
29906,10/28/21 0:00,350
29906,4/11/21 0:00,350
29906,11/11/21 0:00,350
29906,11/18/21 0:00,350
29906,2/12/21 0:00,350
29906,9/12/21 0:00,350
29906,12/16/21 0:00,350
29906,12/23/21 0:00,350
29906,12/30/21 0:00,350
29920,9/25/21 0:00,350
29920,6/10/21 0:00,350
29920,10/13/21 0:00,350
29920,10/30/21 0:00,350
29920,11/29/21 0:00,350
29920,10/12/21 0:00,350
29920,12/17/21 0:00,350
29920,12/24/21 0:00,350
29920,12/31/21 0:00,350
30200,10/23/21 0:00,350
30200,10/30/21 0:00,350
30200,6/11/21 0:00,350
30200,11/13/21 0:00,350
30200,11/20/21 0:00,350
30200,11/27/21 0:00,350
30200,4/12/21 0:00,350
30200,12/12/21 0:00,350
30200,12/19/21 0:00,350
30200,12/26/21 0:00,350
30225,8/31/21 0:00,350
30225,7/9/21 0:00,350
30225,9/14/21 0:00,350
30225,9/21/21 0:00,350
30225,9/28/21 0:00,350
30225,5/10/21 0:00,350
30225,12/10/21 0:00,350
30225,10/19/21 0:00,350
30225,10/26/21 0:00,350
30225,2/11/21 0:00,350
30225,12/11/21 0:00,350
30225,11/28/21 0:00,350
30225,5/12/21 0:00,350
30225,12/12/21 0:00,350
30225,12/28/21 0:00,350
30415,7/7/21 0:00,350
30415,7/15/21 0:00,350
30415,7/22/21 0:00,350
30415,7/29/21 0:00,350
30415,5/8/21 0:00,350
30415,12/8/21 0:00,350
30415,8/28/21 0:00,350
30415,4/9/21 0:00,350
30415,11/9/21 0:00,350
30415,9/18/21 0:00,350
30415,9/30/21 0:00,350
30415,7/10/21 0:00,350
30415,10/14/21 0:00,350
30415,10/21/21 0:00,350
30415,10/28/21 0:00,350
30415,7/11/21 0:00,350
30415,11/24/21 0:00,350
30415,1/12/21 0:00,350
30415,8/12/21 0:00,350
30415,12/15/21 0:00,350
30415,12/22/21 0:00,350
30415,12/29/21 0:00,350
30433,7/20/21 0:00,350
30433,7/27/21 0:00,350
30433,4/8/21 0:00,350
30433,8/16/21 0:00,350
30433,8/24/21 0:00,350
30433,8/31/21 0:00,350
30433,8/9/21 0:00,350
30433,9/15/21 0:00,350
30433,9/23/21 0:00,350
30433,9/30/21 0:00,350
30433,7/10/21 0:00,350
30433,10/15/21 0:00,350
30433,10/25/21 0:00,350
30433,9/11/21 0:00,350
30433,11/16/21 0:00,350
30433,11/23/21 0:00,350
30433,11/30/21 0:00,350
30433,8/12/21 0:00,350
30433,12/14/21 0:00,350
30433,12/21/21 0:00,350
30433,12/28/21 0:00,350
30585,12/7/21 0:00,350
30585,7/22/21 0:00,350
30585,7/31/21 0:00,350
30650,9/14/21 0:00,350
30650,9/21/21 0:00,350
30650,9/28/21 0:00,350
30650,5/10/21 0:00,350
30650,12/10/21 0:00,350
30650,10/25/21 0:00,350
30650,1/11/21 0:00,350
30650,8/11/21 0:00,350
30650,11/15/21 0:00,350
30650,11/22/21 0:00,350
30650,11/29/21 0:00,350
30650,6/12/21 0:00,350
30650,12/13/21 0:00,350
30650,12/20/21 0:00,350
30650,12/27/21 0:00,350
31257,9/24/21 0:00,350
31257,8/10/21 0:00,350
31257,10/25/21 0:00,350
31257,8/11/21 0:00,350
31257,11/15/21 0:00,350
31257,11/27/21 0:00,350
31257,4/12/21 0:00,350
31257,12/13/21 0:00,350
31257,12/20/21 0:00,350
31257,12/27/21 0:00,350
31262,7/16/21 0:00,350
31262,11/8/21 0:00,350
31433,2/7/21 0:00,350
31433,12/7/21 0:00,350
31433,7/19/21 0:00,350
31433,7/29/21 0:00,350
31433,6/8/21 0:00,350
31433,8/13/21 0:00,350
31433,8/20/21 0:00,350
31433,8/29/21 0:00,350
31433,5/9/21 0:00,350
31433,9/14/21 0:00,350
31433,9/21/21 0:00,350
31433,9/29/21 0:00,350
31433,8/10/21 0:00,350
31433,10/15/21 0:00,350
31433,10/24/21 0:00,350
31433,1/11/21 0:00,350
31433,9/11/21 0:00,350
31433,11/17/21 0:00,350
31433,11/24/21 0:00,350
31433,7/12/21 0:00,350
31433,12/14/21 0:00,350
31433,12/22/21 0:00,350
31433,12/29/21 0:00,350
32101,3/7/21 0:00,350
32101,7/18/21 0:00,350
32101,7/25/21 0:00,350
32101,2/8/21 0:00,350
32101,12/8/21 0:00,350
32101,8/19/21 0:00,350
32101,8/27/21 0:00,350
32101,3/9/21 0:00,350
32101,11/9/21 0:00,350
32101,9/19/21 0:00,350
32101,9/27/21 0:00,350
32101,4/10/21 0:00,350
32101,11/10/21 0:00,350
32101,10/22/21 0:00,350
32101,10/30/21 0:00,350
32101,6/11/21 0:00,350
32101,11/13/21 0:00,350
32101,11/20/21 0:00,350
32101,11/27/21 0:00,350
32101,4/12/21 0:00,350
32101,11/12/21 0:00,350
32101,12/18/21 0:00,350
32101,12/25/21 0:00,350
32572,9/30/21 0:00,350
32572,7/10/21 0:00,350
32572,10/14/21 0:00,350
32572,10/21/21 0:00,350
32572,5/11/21 0:00,350
32572,11/13/21 0:00,350
32572,11/24/21 0:00,350
32572,11/12/21 0:00,350
32572,12/26/21 0:00,350
32794,7/19/21 0:00,350
32794,7/26/21 0:00,350
32794,2/8/21 0:00,350
32794,8/14/21 0:00,350
32794,8/21/21 0:00,350
32794,8/28/21 0:00,350
32794,4/9/21 0:00,350
32794,11/9/21 0:00,350
32794,9/20/21 0:00,350
32794,9/27/21 0:00,350
32794,4/10/21 0:00,350
32794,11/10/21 0:00,350
32794,10/18/21 0:00,350
32794,10/25/21 0:00,350
32794,1/11/21 0:00,350
32794,10/11/21 0:00,350
32794,11/17/21 0:00,350
32794,11/24/21 0:00,350
32794,1/12/21 0:00,350
32794,9/12/21 0:00,350
32794,12/16/21 0:00,350
32794,12/23/21 0:00,350
32794,12/30/21 0:00,350
32943,7/7/21 0:00,350
32943,7/15/21 0:00,350
32943,7/22/21 0:00,350
32943,7/31/21 0:00,350
32943,7/8/21 0:00,350
32943,8/15/21 0:00,350
32943,8/23/21 0:00,350
32943,8/31/21 0:00,350
32943,7/9/21 0:00,350
32943,9/14/21 0:00,350
32943,9/21/21 0:00,350
32943,9/29/21 0:00,350
32943,10/10/21 0:00,350
32943,10/17/21 0:00,350
32943,10/24/21 0:00,350
32943,1/11/21 0:00,350
32943,9/11/21 0:00,350
32943,11/16/21 0:00,350
32943,11/24/21 0:00,350
32943,1/12/21 0:00,350
32943,8/12/21 0:00,350
32943,12/15/21 0:00,350
32943,12/22/21 0:00,350
32943,12/29/21 0:00,350
33471,7/22/21 0:00,350
33471,6/8/21 0:00,350
33471,8/16/21 0:00,350
33471,8/25/21 0:00,350
33471,1/9/21 0:00,350
33471,8/9/21 0:00,350
33471,9/15/21 0:00,350
33471,9/22/21 0:00,350
33471,9/29/21 0:00,350
33471,7/10/21 0:00,350
33471,10/15/21 0:00,350
33471,10/27/21 0:00,350
33471,3/11/21 0:00,350
33471,11/15/21 0:00,350
33471,11/22/21 0:00,350
33471,11/29/21 0:00,350
33471,6/12/21 0:00,350
33471,12/13/21 0:00,350
33471,12/20/21 0:00,350
33471,12/28/21 0:00,350
33598,12/7/21 0:00,350
33598,7/28/21 0:00,350
33598,3/9/21 0:00,350
33598,9/15/21 0:00,350
33598,1/10/21 0:00,350
33598,9/11/21 0:00,350
33598,11/24/21 0:00,350
35621,2/7/21 0:00,350
35621,7/16/21 0:00,350
35621,7/27/21 0:00,350
35644,3/8/21 0:00,350
35644,8/19/21 0:00,350
35644,8/31/21 0:00,350
35644,9/15/21 0:00,350
35644,5/11/21 0:00,350
36134,7/13/21 0:00,350
36134,7/21/21 0:00,350
36134,7/29/21 0:00,350
36134,2/9/21 0:00,350
36134,10/9/21 0:00,350
36134,9/19/21 0:00,350
36134,9/26/21 0:00,350
36134,3/10/21 0:00,350
36134,10/10/21 0:00,350
36134,10/17/21 0:00,350
36134,10/24/21 0:00,350
36134,4/11/21 0:00,350
36134,11/11/21 0:00,350
36134,11/18/21 0:00,350
36134,11/25/21 0:00,350
36134,2/12/21 0:00,350
36134,11/12/21 0:00,350
36134,12/18/21 0:00,350
36134,12/25/21 0:00,350
36368,7/19/21 0:00,350
36368,7/27/21 0:00,350
36368,3/8/21 0:00,350
36368,12/8/21 0:00,350
36368,1/10/21 0:00,350
36368,10/14/21 0:00,350
36368,10/23/21 0:00,350
36368,4/11/21 0:00,350
36368,11/17/21 0:00,350
36368,11/30/21 0:00,350
36368,7/12/21 0:00,350
36368,12/14/21 0:00,350
36368,12/28/21 0:00,350
36973,7/24/21 0:00,350
36973,7/31/21 0:00,350
36973,7/8/21 0:00,350
36973,8/15/21 0:00,350
36973,8/25/21 0:00,350
36973,2/9/21 0:00,350
36973,12/9/21 0:00,350
36973,9/22/21 0:00,350
36973,9/30/21 0:00,350
36973,12/10/21 0:00,350
36973,10/23/21 0:00,350
36973,10/31/21 0:00,350
36973,7/11/21 0:00,350
36973,11/14/21 0:00,350
36973,11/28/21 0:00,350
36973,5/12/21 0:00,350
36973,12/23/21 0:00,350
36981,6/7/21 0:00,350
36981,7/13/21 0:00,350
36981,7/20/21 0:00,350
36981,7/27/21 0:00,350
36981,4/8/21 0:00,350
36981,11/8/21 0:00,350
36981,8/18/21 0:00,350
36981,8/25/21 0:00,350
36981,1/9/21 0:00,350
36981,8/9/21 0:00,350
36981,9/15/21 0:00,350
36981,9/22/21 0:00,350
36981,9/29/21 0:00,350
36981,6/10/21 0:00,350
36981,10/13/21 0:00,350
36981,10/20/21 0:00,350
36981,10/27/21 0:00,350
36981,3/11/21 0:00,350
36981,10/11/21 0:00,350
36981,11/17/21 0:00,350
36981,11/24/21 0:00,350
36981,1/12/21 0:00,350
36981,8/12/21 0:00,350
36981,12/15/21 0:00,350
36981,12/22/21 0:00,350
36981,12/29/21 0:00,350
37133,7/24/21 0:00,350
37133,7/31/21 0:00,350
37133,8/8/21 0:00,350
37133,8/21/21 0:00,350
37133,8/28/21 0:00,350
37133,6/9/21 0:00,350
37133,9/13/21 0:00,350
37133,9/21/21 0:00,350
37133,9/30/21 0:00,350
37133,7/10/21 0:00,350
37133,10/16/21 0:00,350
37133,10/23/21 0:00,350
37133,1/11/21 0:00,350
37133,8/11/21 0:00,350
